path,size_bytes,last_commit_date,sqlite_hits,intelligence_dir_hits,openclaw_hits,vps_hits,todo_open_hits,phase1_hits,total_stale_hits,suggested_tier
docs/SLACK_BRANDING_CHECKLIST.md,2066,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/TROUBLESHOOTING.md,340,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/UNUSED_DATA_OPPORTUNITIES.md,927,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/WAREHOUSE_MECHANICAL.md,870,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/WHATSMINER_API.md,9198,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/customer/README.md,1756,2026-04-29,0,0,0,0,0,0,0,REVIEW
installer/macos-pkg/KEYS_AND_SECRETS.md,3758,2026-04-29,0,0,0,0,0,0,0,REVIEW
intelligence-catalog/research/asicminervalue_all_sha256.md,59993,2026-04-29,0,0,0,0,0,0,0,DELETE (deprecated tree)
intelligence-catalog/research/bitmain_all_variants.md,17481,2026-04-29,0,0,0,0,0,0,0,DELETE (deprecated tree)
intelligence-catalog/research/canaan_all_variants.md,18142,2026-04-29,0,0,0,0,0,0,0,DELETE (deprecated tree)
intelligence-catalog/research/microbt_all_variants.md,29572,2026-04-29,0,0,0,0,0,0,0,DELETE (deprecated tree)
intelligence-catalog/seed-data/README.md,4825,2026-04-29,0,0,0,0,0,0,0,DELETE (deprecated tree)
intelligence/docs/intelligence_catalog_gap_analysis.md,17268,2026-04-29,0,0,0,0,0,0,0,DELETE (deprecated tree)
